"theta","se","time","method","n","truth"
37.2589646677964,1.41325460217168,0.369,"iid",400,38.38912
39.3003532001828,2.60488296455679,0.25800000000001,"emm",400,38.38912
38.6753679107799,1.2593790540338,0.358999999999995,"iid",400,38.38912
38.1537821777637,1.92618253817106,0.254999999999995,"emm",400,38.38912
35.4006923554459,1.40267386644839,0.356999999999999,"iid",400,38.38912
41.4822073541501,4.48599456877517,0.299000000000007,"emm",400,38.38912
38.1604268029594,1.2080290117251,0.36099999999999,"iid",400,38.38912
40.0777032499508,2.65327770900502,0.272000000000006,"emm",400,38.38912
37.2373989964921,1.08998006717854,0.36099999999999,"iid",400,38.38912
36.4646645578183,1.36845001476548,0.265000000000001,"emm",400,38.38912
38.3030549938785,1.25202854142053,0.371000000000009,"iid",400,38.38912
37.2775652455168,1.43043191216751,0.258999999999986,"emm",400,38.38912
38.7687644140035,1.03181188946481,0.36699999999999,"iid",400,38.38912
34.5469757794302,3.07160444846125,0.25800000000001,"emm",400,38.38912
37.7794245864763,1.08972853485968,0.359999999999999,"iid",400,38.38912
30.5673277468247,7.54837658912179,0.254000000000005,"emm",400,38.38912
38.6148991274641,1.04907237099373,0.359999999999999,"iid",400,38.38912
41.0926137378015,1.43880675626334,0.247,"emm",400,38.38912
38.1211991639659,0.991176596720659,0.355000000000004,"iid",400,38.38912
37.1593973174923,2.26987371923379,0.26100000000001,"emm",400,38.38912
36.8726727556567,0.992364837276012,0.356999999999999,"iid",400,38.38912
35.2608180187833,1.21591825985667,0.256,"emm",400,38.38912
39.0657012870005,1.20997103749369,0.366,"iid",400,38.38912
